councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
7,82.76,168,2015,43021,CiU-IxB,Barberà de la Conca,Others,Tarragona
1,11.01,174,2019,43042,PSC-CP,Castellvell del Camp,PSC,Tarragona
3,40,72,2003,17112,IO,Ogassa,Others,Girona
0,3.13,119,2015,17022,PP,Bisbal d'Empordà,PP,Girona
5,64.34,231,2019,25069,UCF-AM,Castelló de Farfanya,ERC,Lleida
3,17.03,1314,2003,8022,ERC-AM,Berga,ERC,Barcelona
0,3.78,118,2011,17089,PP,Llagostera,PP,Girona
1,58.97,23,2019,8080,JxCAT-JUNTS,Fígols,JxC,Barcelona
0,3.7,2,2015,17119,CiU,Palau de Santa Eulàlia,CIU,Girona
3,11.57,5276,2015,8121,VOLEMataró,Mataró,Others,Barcelona
1,35.96,41,2003,17143,ERC-AM,Rabós,ERC,Girona
4,14.5,5265,2015,17079,PSC-CP,Girona,PSC,Girona
3,33.63,112,2015,43120,GIPQ - FIC,Querol,Podem,Tarragona
5,34.71,589,2011,8204,CiU,Sant Climent de Llobregat,CIU,Barcelona
5,34.63,1106,2011,8267,CiU,Sentmenat,CIU,Barcelona
0,2.47,383,2019,17114,VOX,Olot,VOX,Girona
5,33.79,757,2011,43047,PSC-PM,Constantí,PSC,Tarragona
1,5.14,340,2019,8161,PP,Piera,PP,Barcelona
0,6.17,10,2003,8242,PSC-PM,Marganell,PSC,Barcelona
2,26.39,38,2015,25128,ERC-AM,Llimiana,ERC,Lleida
5,61.34,192,2011,25250,ERC-AM,Vilanova de Meià,ERC,Lleida
5,18.04,8655,2003,8245,ICV-EPM,Santa Coloma de Gramenet,Podem,Barcelona
4,51.72,135,2011,25112,CiU,Ivars de Noguera,CIU,Lleida
4,54.49,279,2019,25155,JxCAT-JUNTS,Organyà,JxC,Lleida
5,81.43,57,2015,17070,CiU,Fontanilles,CIU,Girona
0,6.67,4,2011,25061,PP,Cabó,PP,Lleida
6,54.14,576,2015,25158,CiU,Palau d'Anglesola,CIU,Lleida
1,7.08,232,2011,8023,ICV-EUiA-E,Bigues i Riells del Fai,Podem,Barcelona
2,20.26,261,2007,17124,ESQUERRA-AM,Pals,ERC,Girona
1,12.9,24,2007,17144,UPM-IPR-PM,Regencós,PSC,Girona
5,63.64,105,2015,17097,IpM - AM,Madremanya,ERC,Girona
2,15.31,389,2011,17103,9M-E,Maçanet de la Selva,Others,Girona
7,84.18,149,2011,8004,GDA,Alpens,Others,Barcelona
3,23.36,782,2003,8282,CIU,Tiana,CIU,Barcelona
0,0.77,47,2015,8295,MILLOR VALL,Vallirana,Others,Barcelona
0,3.68,192,2011,8054,ESQ-RI-AM,Castellbisbal,ERC,Barcelona
3,28.14,302,2019,43024,JUNTS,Bellvei,JxC,Tarragona
6,19.94,19913,2019,8015,PSC-CP,Badalona,PSC,Barcelona
4,62.07,90,2007,25094,CIU,Foradada,CIU,Lleida
0,0,0,2003,8205,UADEP,Sant Cugat del Vallès,Others,Barcelona
1,13.48,55,2011,17040,ALARMAT,Canet d'Adri,Others,Girona
5,64.2,52,2003,25154,CIU,Omells de na Gaia,CIU,Lleida
0,4.7,11,2015,43098,PP,Nulles,PP,Tarragona
6,21.96,3348,2019,8125,PSC-CP,Montcada i Reixac,PSC,Barcelona
0,1.78,667,2019,8200,VOX,Sant Boi de Llobregat,VOX,Barcelona
1,5.64,2572,2015,8121,PxC,Mataró,Others,Barcelona
1,52.53,52,2003,8188,AGIN,Sagàs,Others,Barcelona
3,19.4,1355,2003,8238,ERC-AM,Sant Quirze del Vallès,ERC,Barcelona
7,75.56,136,2011,25006,ERC-AM,Albagés,ERC,Lleida
4,36.16,456,2015,8064,CeP,Castellterçol,Others,Barcelona
0,3.25,194,2019,8157,PODEMOS,Pallejà,Podem,Barcelona
5,79.76,67,2015,25092,CiU,Floresta,CIU,Lleida
5,41.59,757,2019,25021,ERC-AM,Almenar,ERC,Lleida
0,6.39,14,2003,8190,EPM-EPM,Saldes,Others,Barcelona
0,20.33,12,2019,43158,ERC-AM,Vallclara,ERC,Tarragona
2,16.64,452,2003,8175,PSC-PM,Puig-reig,PSC,Barcelona
0,0.43,1,2015,8137,PP,Montseny,PP,Barcelona
0,18.23,35,2003,8903,ERC-AM,Sant Julià de Cerdanyola,ERC,Barcelona
6,67.62,566,2003,25007,CIU,Albatàrrec,CIU,Lleida
0,11.9,10,2003,17222,AR,Vilaür,Others,Girona
3,82.81,53,2019,43159,IPV-JxCAT-JUNTS,Vallfogona de Riucorb,JxC,Tarragona
1,8.06,121,2015,43064,PP,Gandesa,PP,Tarragona
6,53.06,736,2003,25052,CIU,Bellvís,CIU,Lleida
1,6.52,445,2019,17152,PP,Roses,PP,Girona
3,15.66,745,2011,8157,PSC-PM,Pallejà,PSC,Barcelona
1,8.35,438,2019,8181,LREC-ECG,Roca del Vallès,Others,Barcelona
2,31.03,126,2003,17210,ERC-AM,Ventalló,ERC,Girona
7,41.17,1231,2019,25019,UxA - JxCAT - J,Almacelles,JxC,Lleida
6,76.57,219,2015,8306,CiU,Vilalba Sasserra,CIU,Barcelona
2,26.21,114,2003,25231,AE-IT,Torrelameu,Others,Lleida
1,18.64,55,2003,25079,ERC-AM,Cubells,ERC,Lleida
4,63.83,60,2011,25030,CiU,Pont de Bar,CIU,Lleida
4,43.13,361,2015,25033,EA - AM,Artesa de Lleida,ERC,Lleida
3,12.4,4130,2015,8200,C's,Sant Boi de Llobregat,Ciutadans,Barcelona
6,45.16,1026,2015,17221,PSC-CP,Vilafant,PSC,Girona
2,14.62,554,2003,43092,MPI-FIC,Mont-roig del Camp,Podem,Tarragona
2,9.42,1258,2019,8194,SAEC,Sant Adrià de Besòs,Others,Barcelona
4,34.93,1087,2003,43093,PPM-PSC,Móra d'Ebre,PSC,Tarragona
2,10.03,1347,2015,43163,SP - C.U.P.,Vendrell,Others,Tarragona
0,4.78,110,2011,8289,SI,Torrelles de Llobregat,Others,Barcelona
