councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
4,29.3,1406,2019,8135,CANVIEM -ECG,Montmeló,Others,Barcelona
0,0.69,1,2007,25129,PP,Llobera,PP,Lleida
2,33.02,71,2015,25206,CiU,Soleràs,CIU,Lleida
4,56.49,235,2011,17090,CiU,Llambilles,CIU,Girona
3,21.04,827,2015,8282,CiU,Tiana,CIU,Barcelona
0,3.41,45,2011,43137,PP,Sant Jaume dels Domenys,PP,Tarragona
2,20.15,159,2011,8146,CiU,Olesa de Bonesvalls,CIU,Barcelona
0,2.23,27,2007,8148,ESQUERRA-AM,Olivella,ERC,Barcelona
2,27.05,89,2019,17158,JUNTS,Sant Climent Sescebes,JxC,Girona
0,2.83,195,2019,8295,PP,Vallirana,PP,Barcelona
0,1.57,56,2007,17048,C'S,Castell-Platja d'Aro,Ciutadans,Girona
4,43.44,245,2007,8134,CAF,Figaró-Montmany,Others,Barcelona
5,48.39,405,2011,25210,CiU,Soses,CIU,Lleida
2,23.41,129,2011,25043,Bloc Munic.,Vall de Boí,Others,Lleida
0,5.08,166,2007,8140,ESQUERRA-AM,Navarcles,ERC,Barcelona
1,9.61,137,2011,8042,CiU,Cànoves i Samalús,CIU,Barcelona
3,37.07,76,2015,25170,IxB - AM,Bellaguarda,ERC,Lleida
0,2.85,3,2019,25196,CxSES-CP,Sant Esteve de la Sarga,PSC,Lleida
3,27.57,322,2003,8037,CIU,Calldetenes,CIU,Barcelona
1,10.94,290,2019,17193,TSS,Sils,Others,Girona
0,1.92,59,2007,25019,PP,Almacelles,PP,Lleida
0,0,0,2019,25089,PP,Farrera,PP,Lleida
1,9.78,165,2019,8905,PSC-CP,Palma de Cervelló,PSC,Barcelona
1,43.4,69,2003,43053,CIU,Duesaigües,CIU,Tarragona
3,26.87,510,2015,8158,CiU,Papiol,CIU,Barcelona
3,32.1,374,2011,17150,I.P.R.,Riudellots de la Selva,Others,Girona
1,9.17,153,2019,8261,Cs,Santa Susanna,Ciutadans,Barcelona
0,0.31,246,2003,8279,UADEP,Terrassa,Others,Barcelona
5,17.78,5216,2019,8301,ERC-AM,Viladecans,ERC,Barcelona
6,51.21,807,2003,17142,PSC-PM,Quart,PSC,Girona
5,66.16,219,2003,17060,CIU,Darnius,CIU,Girona
3,26.77,438,2007,8017,EPB-EPM,Balenyà,Others,Barcelona
3,22.84,380,2011,8286,PSC-PM,Torre de Claramunt,PSC,Barcelona
1,5.3,517,2003,17155,E.U.-I.U.,Salt,Others,Girona
2,42.68,70,2003,17170,CIU,Vallfogona de Ripollès,CIU,Girona
1,8.08,254,2015,8091,CUP-PA,Gelida,CUP,Barcelona
4,49.23,128,2011,8249,AISF-FIC,Santa Fe del Penedès,Podem,Barcelona
6,59.72,673,2003,25012,ERC-AM,Alcoletge,ERC,Lleida
2,19.93,298,2003,17163,ERC-AM,Sant Gregori,ERC,Girona
8,71.53,975,2019,17056,JxCAT ¿ JUNTS,Cornellà del Terri,JxC,Girona
4,57.37,144,2007,8303,PSC-PM,Vilanova de Sau,PSC,Barcelona
3,45.52,117,2019,25191,JUNTS,Sanaüja,JxC,Lleida
0,7.55,71,2003,8094,PSC-PM,Granada,PSC,Barcelona
1,6.66,1046,2019,17066,GF-AMUNT,Figueres,ERC,Girona
4,33.66,486,2007,17007,CIU,Amer,CIU,Girona
1,33.33,20,2015,8271,CiU,Sobremunt,CIU,Barcelona
3,11.8,1317,2015,43038,C's,Cambrils,Ciutadans,Tarragona
4,70.48,74,2015,25111,AEIG,Guixers,Others,Lleida
6,41.91,1106,2015,8264,CiU,Sant Vicenç de Montalt,CIU,Barcelona
5,47.7,498,2003,25220,AIPN,Térmens,Others,Lleida
8,28.45,6952,2011,8307,PSC-PM,Vilanova i la Geltrú,PSC,Barcelona
1,10.45,63,2011,43078,PSC-PM,Masdenverge,PSC,Tarragona
3,37.98,98,2007,17107,IM-AM,Molló,ERC,Girona
1,18.73,95,2019,43165,EV-F IC,Vilabella,Podem,Tarragona
1,23.65,92,2003,25035,PSC-PM,Sentiu de Sió,PSC,Lleida
5,44.14,324,2011,43090,PSC-PM,Montmell,PSC,Tarragona
3,15.6,655,2011,8218,ICV-EUiA-E,Sant Joan de Vilatorrada,Podem,Barcelona
3,34.06,204,2003,17094,ILL,Llívia,Others,Girona
0,2.93,110,2011,8259,SI,Santa Maria de Palautordera,Others,Barcelona
0,8.25,9,2019,17232,CP,Vilopriu,PSC,Girona
0,3.49,50,2015,43020,PP,Banyeres del Penedès,PP,Tarragona
4,30.61,626,2019,8158,Sumem per el Pa,Papiol,Others,Barcelona
0,2.63,3,2011,25075,PM,Clariana de Cardener,Others,Lleida
1,11.3,73,2011,43103,AMPEP-F.I.C,Perafort,Others,Tarragona
1,10.69,467,2015,43004,PP,Alcanar,PP,Tarragona
6,48.76,511,2015,43024,#NAME?,Bellvei,Others,Tarragona
0,2.9,190,2007,43905,C'S,Salou,Ciutadans,Tarragona
0,3.93,137,2011,8208,ERC-AM,Sant Esteve Sesrovires,ERC,Barcelona
3,38.14,45,2003,17021,CIU,Beuda,CIU,Girona
3,36.99,54,2011,8109,CiU,Lluçà,CIU,Barcelona
3,22.65,637,2015,43145,ERC-MES-AM,Selva del Camp,ERC,Tarragona
2,45.13,88,2003,25094,GIF,Foradada,Others,Lleida
4,47.14,33,2003,17014,CIU,Vajol,CIU,Girona
0,4.25,221,2011,8074,ERC-AM,Cubelles,ERC,Barcelona
0,5.58,138,2011,8044,PP,Capellades,PP,Barcelona
1,13.85,242,2019,43028,UPLBP - FIC,Bisbal del Penedès,Podem,Tarragona
2,21.01,562,2003,8010,PSC-PM,Artés,PSC,Barcelona
2,14.42,379,2015,17103,AM-IdSELVA,Maçanet de la Selva,Others,Girona
1,33.66,34,2015,25001,IxAC-CP,Abella de la Conca,PSC,Lleida
0,4.02,172,2003,25072,ICV-EPM,Cervera,Podem,Lleida
2,11.65,756,2011,43901,PP,Deltebre,PP,Tarragona
2,12.08,1325,2003,43161,ERC-AM,Valls,ERC,Tarragona
2,20.86,34,2011,17144,ERC-AM,Regencós,ERC,Girona
3,25.71,407,2019,43094,JUNTS,Móra la Nova,JxC,Tarragona
1,9.82,140,2011,8042,PP,Cànoves i Samalús,PP,Barcelona
1,14.69,324,2003,43054,PSC-PM-UIE,Espluga de Francolí,PSC,Tarragona
2,26.59,129,2019,25134,IxM-CP,Menàrguens,PSC,Lleida
0,1.86,276,2015,8298,SI-Solidaritat,Vic,Others,Barcelona
0,1.31,4,2007,17069,PP,Fontanals de Cerdanya,PP,Girona
4,45.93,79,2007,8087,UL-AM,Gallifa,ERC,Barcelona
2,35.04,177,2019,43007,SOM-HI - F IC,Aleixar,Podem,Tarragona
7,48.87,1367,2011,8108,CiU,Lliçà de Vall,CIU,Barcelona
0,5.06,31,2007,25133,ESQUERRA-AM,Maials,ERC,Lleida
0,17.54,10,2019,17119,JUNTS,Palau de Santa Eulàlia,JxC,Girona
0,4.05,168,2015,8197,UxLL,Sant Andreu de Llavaneres,Others,Barcelona
5,77.17,71,2011,17191,CiU,Serra de Daró,CIU,Girona
1,33.07,42,2003,8036,IMCS - PM,Calonge de Segarra,Others,Barcelona
1,7.94,483,2015,8295,C's,Vallirana,Ciutadans,Barcelona
1,47.66,51,2003,25114,CIU,Ivorra,CIU,Lleida
1,6.42,383,2019,8157,P.D.F.,Pallejà,Others,Barcelona
3,13.22,1197,2011,8118,ICV-EUiA-E,Masnou,Podem,Barcelona
7,77.68,188,2019,17075,JUNTS,Garrigàs,JxC,Girona
3,20.7,319,2015,43140,ERC-AM,Santa Oliva,ERC,Tarragona
0,20.24,17,2007,8130,PM,Montclar,Others,Barcelona
3,43.72,174,2007,43082,MA,Masroig,Others,Tarragona
1,12.85,167,2007,8064,PIC-ICV-EPM,Castellterçol,Podem,Barcelona
1,6.14,267,2007,8001,CIU,Abrera,CIU,Barcelona
1,6.3,231,2015,8267,PP,Sentmenat,PP,Barcelona
0,2,197,2011,8051,PxC,Castellar del Vallès,Others,Barcelona
5,17.86,2328,2011,43163,PxC,Vendrell,Others,Tarragona
3,15.76,1366,2019,8110,ERC-AM,Malgrat de Mar,ERC,Barcelona
0,2.56,8,2015,43113,PP,Pont d'Armentera,PP,Tarragona
4,45.71,314,2003,43149,PSC-III-PM,Tivenys,PSC,Tarragona
4,34.2,421,2011,17124,PSC-PM,Pals,PSC,Girona
0,0,0,2015,43146,CP,Senan,PSC,Tarragona
3,27.11,572,2007,17186,CIU,Sarrià de Ter,CIU,Girona
0,2.86,212,2011,8112,PP,Manlleu,PP,Barcelona
0,2.34,22,2019,25204,PP,Seròs,PP,Lleida
2,10.19,664,2019,8074,JUNTS,Cubelles,JxC,Barcelona
1,6.79,1256,2003,8089,IEV-IG-EPM,Gavà,Others,Barcelona
3,21.7,963,2019,8267,ACSENT,Sentmenat,Others,Barcelona
1,6.49,688,2015,8270,PP,Sitges,PP,Barcelona
0,2.29,655,2019,8266,GP. BELLATERRA,Cerdanyola del Vallès,Others,Barcelona
0,26.98,17,2007,25032,CIU,Arsèguel,CIU,Lleida
1,9.44,452,2015,43051,ERC-AM,Cunit,ERC,Tarragona
0,2.2,7,2015,25194,CP,Sant Ramon,PSC,Lleida
0,0.2,147,2007,8015,PH,Badalona,Others,Barcelona
11,38.56,13416,2015,8073,PSC-CP,Cornellà de Llobregat,PSC,Barcelona
6,64.13,513,2015,8065,CiU,Castellví de la Marca,CIU,Barcelona
2,36.23,150,2019,17018,Bd - AM,Bellcaire d'Empordà,ERC,Girona
2,49.15,58,2007,8243,ESQUERRA-AM,Santa Cecília de Voltregà,ERC,Barcelona
4,48.68,148,2019,17195,VCTMT,Tallada d'Empordà,Others,Girona
1,8.76,453,2015,8009,PP,Argentona,PP,Barcelona
7,75.93,205,2011,17018,JBE,Bellcaire d'Empordà,Others,Girona
4,35.16,501,2011,8042,PSC-PM,Cànoves i Samalús,PSC,Barcelona
3,39.52,83,2019,25190,ERC-AM,Salàs de Pallars,ERC,Lleida
0,3.43,45,2007,8203,PP,Sant Cebrià de Vallalta,PP,Barcelona
4,59.75,144,2007,17115,PSC-PM,Ordis,PSC,Girona
3,27.19,180,2011,43056,UPTA-PM,Fatarella,PSC,Tarragona
0,3.41,1445,2015,8245,PXC&VECINOS,Santa Coloma de Gramenet,Others,Barcelona
2,12.5,386,2015,17213,CP,Vidreres,PSC,Girona
1,6.06,554,2019,8046,GPC-FIC,Cardedeu,Podem,Barcelona
5,44.13,579,2003,25038,CIU,Aitona,CIU,Lleida
0,3.13,19,2015,8193,PSC-CP,Sant Iscle de Vallalta,PSC,Barcelona
1,33.7,60,2019,25181,EP-AM,Puigverd d'Agramunt,ERC,Lleida
3,9.89,2009,2011,8056,ICV-EUiA-E,Castelldefels,Podem,Barcelona
0,4.93,136,2003,8251,PP,Santa Margarida i els Monjos,PP,Barcelona
5,73.91,68,2019,8130,M-AM,Montclar,ERC,Barcelona
2,9.71,887,2019,8046,JUNTS,Cardedeu,JxC,Barcelona
2,20.67,346,2015,8143,CiU,Òdena,CIU,Barcelona
0,1.75,23,2019,8246,PP,Santa Eugènia de Berga,PP,Barcelona
0,31.78,41,2007,25141,ESQUERRA-AM,Montoliu de Segarra,ERC,Lleida
5,56.72,485,2019,17025,JxCAT-JUNTS,Bordils,JxC,Girona
3,79.36,50,2019,8195,JxCAT-JUNTS,Sant Agustí de Lluçanès,JxC,Barcelona
0,0.38,4,2007,43109,ICV-EUIA-EPM,Pobla de Mafumet,Podem,Tarragona
5,66.52,149,2003,25148,CIU,Odèn,CIU,Lleida
0,37.18,29,2007,8021,IPB-PM,Bellprat,PSC,Barcelona
2,20.7,147,2011,43128,PSC-PM,Riudecols,PSC,Tarragona
2,8.88,2667,2011,8073,CiU,Cornellà de Llobregat,CIU,Barcelona
0,7.47,118,2007,43043,ESQUERRA-AM,Catllar,ERC,Tarragona
3,29.26,177,2007,17093,PSC-PM,Llers,PSC,Girona
1,10.33,197,2019,8145,PSC-UNITS-CP,Olèrdola,PSC,Barcelona
0,5.5,67,2007,43042,PP,Castellvell del Camp,PP,Tarragona
0,1.35,9,2007,8304,PP,Vilobí del Penedès,PP,Barcelona
5,38.85,836,2007,25050,ESQUERRA-AM,Bellpuig,ERC,Lleida
3,33.91,234,2007,25102,CIU,Granja d'Escarp,CIU,Lleida
1,10.71,379,2015,8300,C's,Viladecavalls,Ciutadans,Barcelona
1,21.37,106,2015,25227,C.U.P.,Torre de Cabdella,CUP,Lleida
0,0.58,70,2003,8252,UPB-FIC,Barberà del Vallès,Podem,Barcelona
4,55,55,2011,25105,CiU,Granyena de les Garrigues,CIU,Lleida
3,44.16,87,2003,17087,CPJ,Juià,Others,Girona
1,5.39,376,2015,8086,PP,Franqueses del Vallès,PP,Barcelona
5,39.16,475,2007,8148,ICV-EUIA-EPM,Olivella,Podem,Barcelona
3,22.88,695,2003,8155,CIU,Palafolls,CIU,Barcelona
8,56.99,1823,2007,43129,CIU,Riudoms,CIU,Tarragona
0,2.28,100,2019,8023,PP,Bigues i Riells del Fai,PP,Barcelona
1,6.39,1018,2011,8102,ICV-EUiA-E,Igualada,Podem,Barcelona
1,5.34,496,2011,8260,PxC,Santa Perpètua de Mogoda,Others,Barcelona
0,2.02,31,2011,8220,PM,Sant Julià de Vilatorta,Others,Barcelona
0,3.97,178,2015,8230,Bloc Municipal,Premià de Dalt,Others,Barcelona
4,33.57,366,2019,8061,ERC-AM,Castellgalí,ERC,Barcelona
15,46.23,22172,2007,25120,PSC-PM,Lleida,PSC,Lleida
5,63.22,330,2003,8229,CIU,Sant Mateu de Bages,CIU,Barcelona
0,1.64,7,2003,8116,PP,Masies de Roda,PP,Barcelona
3,43.43,218,2015,25043,CiU,Vall de Boí,CIU,Lleida
0,2.13,265,2019,8051,PP,Castellar del Vallès,PP,Barcelona
3,10.83,3511,2007,17079,ICV-EUIA-EPM,Girona,Podem,Girona
2,11.15,1303,2003,8114,ERC-AM,Martorell,ERC,Barcelona
3,24.48,1015,2003,8003,CIU,Alella,CIU,Barcelona
0,1.78,13,2015,8287,PP,Torrelavit,PP,Barcelona
3,45.08,142,2011,17091,CiU,Llanars,CIU,Girona
5,47.24,420,2007,8013,PSC-PM,Avinyonet del Penedès,PSC,Barcelona
5,62.35,106,2007,25057,CDA,Bòrdes,CIU,Lleida
0,10.37,39,2007,17018,CIU,Bellcaire d'Empordà,CIU,Girona
6,52.9,565,2015,25173,CiU,Pont de Suert,CIU,Lleida
0,7.18,87,2011,17007,C.A.,Amer,Others,Girona
7,91.66,231,2019,17126,ERC-AM,Parlavà,ERC,Girona
2,24.89,115,2003,17035,UIC,Camós,Podem,Girona
0,44.92,53,2003,17021,UPP,Beuda,Others,Girona
0,3.54,154,2015,17199,PP,Torroella de Montgrí,PP,Girona
0,3.4,379,2015,43038,MOVIMENT D'ESQ,Cambrils,Others,Tarragona
4,52.59,264,2015,25043,IVB,Vall de Boí,Others,Lleida
1,11.77,146,2011,25189,PSC-PM,Rosselló,PSC,Lleida
3,11.21,4100,2015,8205,ERC-MES-AM,Sant Cugat del Vallès,ERC,Barcelona
4,52.53,228,2011,17035,CiU,Camós,CIU,Girona
1,12.18,24,2007,17081,PSC-PM,Gualta,PSC,Girona
0,16.67,10,2007,8045,CIU,Capolat,CIU,Barcelona
0,3.54,77,2003,43131,ICV-EPM,Roda de Berà,Podem,Tarragona
1,5.7,855,2011,8298,ICV-EUiA-E,Vic,Podem,Barcelona
0,3.79,481,2007,43163,ICV-EA-EPM,Vendrell,Podem,Tarragona
5,44.01,698,2011,17233,GMI-AM,Vilobí d'Onyar,ERC,Girona
7,89.47,272,2015,17109,CiU,Montagut i Oix,CIU,Girona
3,23.39,589,2007,8020,B.A-U-B,Begues,Others,Barcelona
0,0.18,58,2011,17079,PRE-IR,Girona,Others,Girona
0,0.66,186,2003,8184,CDS,Rubí,CIU,Barcelona
1,13.16,10,2011,43151,CiU,Torre de Fontaubella,CIU,Tarragona
1,9.15,315,2007,8155,ESQUERRA-AM,Palafolls,ERC,Barcelona
4,16.45,1750,2015,8051,ERC-AM,Castellar del Vallès,ERC,Barcelona
0,9.1,45,2019,17187,CP,"Saus, Camallera i Llampaies",PSC,Girona
7,88.82,302,2019,43169,UV - ERC - AM,Vilaplana,ERC,Tarragona
4,14.94,5425,2015,17079,CUP-Crida-PA,Girona,CUP,Girona
0,6.1,89,2007,43095,PP,Morell,PP,Tarragona
2,31.44,61,2011,25146,IPN-AM,Navès,ERC,Lleida
1,14.67,261,2019,17215,UxVI-IDC,Vilablareix,Others,Girona
0,0.99,1,2011,25136,PM,Molsosa,Others,Lleida
2,14.87,529,2003,8067,CIU,Centelles,CIU,Barcelona
1,40.16,49,2011,43101,ERC-AM,Passanant i Belltall,ERC,Tarragona
0,1.95,69,2019,8248,CONTIGO,Santa Eulàlia de Ronçana,Others,Barcelona
3,45.8,71,2019,25057,CDA-PNA,Bòrdes,CIU,Lleida
1,5.99,5579,2015,8101,CiU,Hospitalet de Llobregat,CIU,Barcelona
4,52.84,93,2007,17100,IDM-V-PM,Masarac,PSC,Girona
0,3.19,57,2011,25110,PP,Guissona,PP,Lleida
1,22.73,25,2007,43151,F-ACORD MUNICIP,Torre de Fontaubella,Podem,Tarragona
0,15.38,8,2003,8177,E.C,Quar,Others,Barcelona
2,18.26,396,2019,17163,ERC-AM,Sant Gregori,ERC,Girona
1,10.12,213,2019,17027,PSC-CP,Breda,PSC,Girona
0,0.74,203,2003,8169,UADEP,Prat de Llobregat,Others,Barcelona
0,37.04,10,2003,25222,PP,Tiurana,PP,Lleida
0,3.03,2,2011,17222,PM,Vilaür,Others,Girona
1,7.65,753,2019,43014,JxA - JUNTS,Amposta,JxC,Tarragona
1,9.71,114,2011,17215,PM,Vilablareix,Others,Girona
7,57.07,835,2015,17185,CiU,Sant Joan les Fonts,CIU,Girona
1,6.5,252,2007,8214,CEV,Vilassar de Dalt,Others,Barcelona
5,45.29,924,2011,43060,PSC-PM,Flix,PSC,Tarragona
0,2.35,38,2007,8227,PP,Sant Martí Sarroca,PP,Barcelona
0,12.5,7,2003,17119,PM,Palau de Santa Eulàlia,Others,Girona
2,22.34,126,2007,8134,FP-PSC-PM,Figaró-Montmany,PSC,Barcelona
4,40.94,425,2019,43150,JUNTS,Tivissa,JxC,Tarragona
4,32.29,884,2003,43060,PSC-PM,Flix,PSC,Tarragona
2,27.74,91,2015,8299,CP,Vilada,PSC,Barcelona
2,28.9,176,2007,25156,IGAM,Os de Balaguer,Others,Lleida
3,45,54,2019,8090,JxCAT-JUNTS,Gaià,JxC,Barcelona
0,2.41,21,2003,8013,PP,Avinyonet del Penedès,PP,Barcelona
3,44.16,102,2015,8137,AMD-CP,Montseny,PSC,Barcelona
3,35.71,145,2003,17210,CIU,Ventalló,CIU,Girona
1,23.08,39,2015,17153,Rviu,Rupià,Others,Girona
1,63.75,51,2007,25913,CIU,Riu de Cerdanya,CIU,Lleida
1,8.49,245,2015,25019,ICV-EUiA-ME,Almacelles,Podem,Lleida
3,11.61,3257,2007,8200,C.I.U,Sant Boi de Llobregat,CIU,Barcelona
0,4.55,3,2011,43039,PM,Capafonts,Others,Tarragona
5,39.86,456,2019,8058,PSC-CP,Castellet i la Gornal,PSC,Barcelona
5,21.17,3178,2019,43155,MT-MTE-ECG,Tortosa,Others,Tarragona
0,0.84,103,2011,8180,MSR,Ripollet,Others,Barcelona
0,3.95,67,2011,8204,PP,Sant Climent de Llobregat,PP,Barcelona
4,20.63,1534,2015,8202,CUP-PC-PA,Sant Celoni,CUP,Barcelona
0,4.45,475,2007,8114,CUP,Martorell,CUP,Barcelona
1,6.86,173,2019,17049,JxCAT ¿ JUNTS,Celrà,JxC,Girona
1,11.95,144,2007,17086,PSC-PM,Jonquera,PSC,Girona
6,63.67,412,2019,17093,JUNTS,Llers,JxC,Girona
0,20.61,27,2019,8087,ERC-AM,Gallifa,ERC,Barcelona
2,17.3,560,2003,8300,APV-ERC-AM,Viladecavalls,ERC,Barcelona
1,7.99,242,2019,17103,DIM,Maçanet de la Selva,Others,Girona
0,1.42,1062,2011,8187,PACMA,Sabadell,PACMA,Barcelona
1,38.1,32,2007,25143,PSC,Montornès de Segarra,PSC,Lleida
4,62.04,67,2011,43046,IND PCONESA,Conesa,Others,Tarragona
6,58.66,440,2019,8166,ERC-AM,Pobla de Lillet,ERC,Barcelona
3,16.07,1013,2019,8072,CUP-AMUNT,Corbera de Llobregat,ERC,Barcelona
2,21.03,183,2007,17138,ERC-AM,Portbou,ERC,Girona
1,9.49,352,2019,8020,PSC-CP,Begues,PSC,Barcelona
0,4.59,326,2019,8040,PP,Canet de Mar,PP,Barcelona
0,3.05,15,2003,43103,PP,Perafort,PP,Tarragona
6,46.53,898,2011,43054,CiU,Espluga de Francolí,CIU,Tarragona
1,31.7,26,2019,8280,ERC-AM,Tavertet,ERC,Barcelona
5,31.99,1205,2003,8259,PSC-PM,Santa Maria de Palautordera,PSC,Barcelona
4,17.23,1863,2011,43038,PP,Cambrils,PP,Tarragona
2,8.85,1114,2015,8194,MOVIMENT D'ESQ,Sant Adrià de Besòs,Others,Barcelona
4,55.62,94,2007,17136,FCIU,Pontós,CIU,Girona
3,88.31,68,2019,25218,TxT - AM,Tarrés,ERC,Lleida
1,16.04,219,2007,17019,PM,Besalú,Others,Girona
6,69.54,121,2007,8242,CIU,Marganell,CIU,Barcelona
0,2.98,5,2015,25081,CP,Espluga Calba,PSC,Lleida
1,7.19,199,2019,43907,JUNTS,Canonja,JxC,Tarragona
10,29.28,27972,2019,8279,TxT,Terrassa,Others,Barcelona
1,6.68,260,2015,8214,PSC-CP,Vilassar de Dalt,PSC,Barcelona
5,22.06,2441,2019,43161,ERC - CxV - AM,Valls,ERC,Tarragona
6,47.97,770,2019,8207,JUNTS,Sant Esteve de Palautordera,JxC,Barcelona
0,0.16,954,2011,8019,P.A.T.O.,Barcelona,Others,Barcelona
2,27.24,79,2003,17217,CIU,Viladamat,CIU,Girona
0,4.67,397,2019,8202,Cs,Sant Celoni,Ciutadans,Barcelona
2,9.12,1331,2007,8102,PP,Igualada,PP,Barcelona
0,7.62,139,2003,8075,PP,Dosrius,PP,Barcelona
0,1.53,15,2003,8207,PP,Sant Esteve de Palautordera,PP,Barcelona
7,38.12,1699,2007,8218,PSC-PM,Sant Joan de Vilatorrada,PSC,Barcelona
7,78.24,151,2015,25200,CiU,Sarroca de Lleida,CIU,Lleida
3,30.21,329,2011,17032,ERC-AM,Cadaqués,ERC,Girona
0,2.66,103,2015,8120,PSC-CP,Matadepera,PSC,Barcelona
2,7.53,479,2011,17152,GDP-AM,Roses,ERC,Girona
1,5.02,1142,2019,8124,JUNTS,Mollet del Vallès,JxC,Barcelona
3,41.92,218,2003,17165,ERC-AM,Sant Jaume de Llierca,ERC,Girona
5,75.61,93,2003,25085,IS,Estaràs,Others,Lleida
2,22.93,136,2011,43026,EpB-AM,Benissanet,ERC,Tarragona
2,10.36,512,2015,8126,ICV-EUiA-E,Montgat,Podem,Barcelona
3,12.66,1196,2011,43161,CUP-PA,Valls,CUP,Tarragona
0,3.3,275,2007,8219,CUP,Vilassar de Mar,CUP,Barcelona
0,6.19,163,2019,8029,Cs,Cabrera de Mar,Ciutadans,Barcelona
5,18.7,2498,2019,8194,ERC - AVANCEM -,Sant Adrià de Besòs,ERC,Barcelona
2,13.41,831,2015,43136,PSC-CP,Ràpita,PSC,Tarragona
1,6.81,862,2003,8172,VIP,Premià de Mar,Others,Barcelona
0,5.64,104,2003,25013,PP,Alfarràs,PP,Lleida
0,0,0,2019,43045,PSC-CP,Colldejou,PSC,Tarragona
4,33.3,628,2011,17027,CiU,Breda,CIU,Girona
2,28.43,118,2011,17074,GPF-AM,Fortià,ERC,Girona
2,14.21,456,2011,8274,aiS,Súria,Others,Barcelona
0,9.77,25,2011,8170,IMPR-PM,Prats de Rei,PSC,Barcelona
1,12.07,263,2015,8029,AI - CM,Cabrera de Mar,Others,Barcelona
2,8.91,502,2015,8074,CUBELLES SI,Cubelles,Others,Barcelona
4,45.63,402,2015,8038,CiU,Callús,CIU,Barcelona
1,6.63,260,2015,25207,PSC-CP,Solsona,PSC,Lleida
0,2.56,698,2015,8184,PxC,Rubí,Others,Barcelona
3,13.79,1752,2011,17066,PP,Figueres,PP,Girona
1,13.83,256,2015,43100,ICV-EUiA-E,Pallaresos,Podem,Tarragona
1,9.52,98,2003,43088,CIM-PM,Montbrió del Camp,PSC,Tarragona
3,29.36,397,2015,25012,ERC-AM,Alcoletge,ERC,Lleida
4,58.95,135,2015,17024,En-Cerd,Bolvir,Others,Girona
2,17.45,783,2019,8213,PSC-CP,Sant Fruitós de Bages,PSC,Barcelona
0,5.41,167,2003,25058,PSC-PM,Borges Blanques,PSC,Lleida
8,46.79,1735,2007,8120,CIU,Matadepera,CIU,Barcelona
1,15.95,52,2019,8299,VxR-JUNTS,Vilada,JxC,Barcelona
3,26.97,346,2007,8232,ESQUERRA-AM,Sant Pere de Riudebitlles,ERC,Barcelona
5,26.32,1638,2007,8033,CIU,Caldes de Montbui,CIU,Barcelona
3,43.2,232,2015,8099,JXG,Guardiola de Berguedà,Others,Barcelona
0,5,7,2019,25157,CxOS-CP,Ossó de Sió,PSC,Lleida
6,57.92,589,2003,8166,PSC-PM,Pobla de Lillet,PSC,Barcelona
0,3.88,29318,2019,8019,Capgirem BCN -,Barcelona,Others,Barcelona
1,6.78,392,2011,25217,ERC-AM,Tàrrega,ERC,Lleida
3,43.82,110,2003,17115,CIU,Ordis,CIU,Girona
0,1.99,771,2011,8245,C's,Santa Coloma de Gramenet,Ciutadans,Barcelona
1,7.57,1443,2015,8211,PP,Sant Feliu de Llobregat,PP,Barcelona
1,10.41,113,2011,8265,ERC-AM,Sant Vicenç de Torelló,ERC,Barcelona
3,26.4,340,2007,17124,PSC-PM,Pals,PSC,Girona
0,0.74,1,2015,8185,CP,Rubió,PSC,Barcelona
3,20.44,695,2019,17213,VST-ERC-AM,Vidreres,ERC,Girona
0,3.24,37,2011,43031,ICV-EUIA-E,Borges del Camp,Podem,Tarragona
2,13.75,321,2003,43047,PP,Constantí,PP,Tarragona
1,11.99,208,2003,43094,IMNO-FIC,Móra la Nova,Podem,Tarragona
0,41.84,41,2011,17076,ERC-AM,Garrigoles,ERC,Girona
9,37.1,3609,2015,43161,CiU,Valls,CIU,Tarragona
2,8.84,1883,2007,8096,ESQUERRA-AM,Granollers,ERC,Barcelona
0,3.97,43,2007,8222,PP,Sant Llorenç d'Hortons,PP,Barcelona
5,61.89,328,2011,25121,UA-PM-PSC,Les,PSC,Lleida
1,43.03,34,2019,25913,IRC,Riu de Cerdanya,Others,Lleida
10,48.56,2955,2015,8295,PSC-CP,Vallirana,PSC,Barcelona
1,12.5,401,2019,43013,EPC-MTE-ECG,Ametlla de Mar,Others,Tarragona
5,25.25,1812,2019,8107,ERC-AM,Lliçà d'Amunt,ERC,Barcelona
5,47.01,315,2019,8304,VV-CP,Vilobí del Penedès,PSC,Barcelona
3,36.3,244,2019,43125,CP,Riba-roja d'Ebre,PSC,Tarragona
0,0.58,48,2011,17155,MSR,Salt,Others,Girona
1,45.13,51,2003,17162,APG-CUP-EPM,Sant Ferriol,CUP,Girona
3,40.03,203,2019,8256,SMEC-ECG,Santa Maria de Martorelles,Others,Barcelona
4,26.37,613,2015,17008,CiU,Anglès,CIU,Girona
0,2.5,103,2011,8135,ERC-AM,Montmeló,ERC,Barcelona
4,54.51,163,2019,43113,JUNTS,Pont d'Armentera,JxC,Tarragona
0,2.32,38,2011,43094,C's,Móra la Nova,Ciutadans,Tarragona
2,12.04,438,2003,43051,PP,Cunit,PP,Tarragona
0,2.16,20,2015,17132,PP,Peralada,PP,Girona
